r_um,z_um,r_err_um,z_err_um,time_h,particle_name,Energy_MeV,Energy_FWHM_MeV,angle_deg
0.036630037,11.24390244,0.6,0.6,6.5,4He,5.9,0.12,40
0.43956044,11.7804878,0.6,0.6,6.5,4He,5.9,0.12,40
2.490842491,12.87804878,0.6,0.6,6.5,4He,5.9,0.12,40
5.128205128,14,0.6,0.6,6.5,4He,5.9,0.12,40
7.435897436,15.12195122,0.6,0.6,6.5,4He,5.9,0.12,40
10.03663004,16.24390244,0.6,0.6,6.5,4He,5.9,0.12,40
12.01465201,17.29268293,0.6,0.6,6.5,4He,5.9,0.12,40
13.91941392,18.43902439,0.6,0.6,6.5,4He,5.9,0.12,40
14.90842491,18.95121951,0.6,0.6,6.5,4He,5.9,0.12,40
14.90842491,18.95121951,0.6,0.6,6.5,4He,5.9,0.12,40
16.22710623,19.56097561,0.6,0.6,6.5,4He,5.9,0.12,40
16.44688645,18.92682927,0.6,0.6,6.5,4He,5.9,0.12,40
16.33699634,18.41463415,0.6,0.6,6.5,4He,5.9,0.12,40
16.33699634,18.41463415,0.6,0.6,6.5,4He,5.9,0.12,40
16.00732601,17.26829268,0.6,0.6,6.5,4He,5.9,0.12,40
15.56776557,16.2195122,0.6,0.6,6.5,4He,5.9,0.12,40
15.45787546,15.09756098,0.6,0.6,6.5,4He,5.9,0.12,40
14.7985348,14.02439024,0.6,0.6,6.5,4He,5.9,0.12,40
14.72527473,12.90243902,0.6,0.6,6.5,4He,5.9,0.12,40
14.54212454,11.7804878,0.6,0.6,6.5,4He,5.9,0.12,40
14.32234432,11.26829268,0.6,0.6,6.5,4He,5.9,0.12,40
,,,,,,,,
-1.875,16.96091516,0.6,0.6,9.5,4He,5.9,0.12,40
2.780172414,18.85224023,0.6,0.6,9.5,4He,5.9,0.12,40
6.724137931,20.7435653,0.6,0.6,9.5,4He,5.9,0.12,40
10.34482759,22.78741659,0.6,0.6,9.5,4He,5.9,0.12,40
14.61206897,24.7092469,0.6,0.6,9.5,4He,5.9,0.12,40
17.5862069,26.87511916,0.6,0.6,9.5,4He,5.9,0.12,40
19.07327586,28.2478551,0.6,0.6,9.5,4He,5.9,0.12,40
20.36637931,29.34604385,0.6,0.6,9.5,4He,5.9,0.12,40
21.59482759,29.92564347,0.6,0.6,9.5,4He,5.9,0.12,40
22.11206897,30.6577693,0.6,0.6,9.5,4He,5.9,0.12,40
26.05603448,30.74928503,0.6,0.6,9.5,4He,5.9,0.12,40
27.02586207,29.89513823,0.6,0.6,9.5,4He,5.9,0.12,40
26.9612069,29.31553861,0.6,0.6,9.5,4He,5.9,0.12,40
26.12068966,28.21734986,0.6,0.6,9.5,4He,5.9,0.12,40
25.92672414,26.87511916,0.6,0.6,9.5,4He,5.9,0.12,40
24.95689655,24.73975214,0.6,0.6,9.5,4He,5.9,0.12,40
24.95689655,24.73975214,0.6,0.6,9.5,4He,5.9,0.12,40
24.11637931,22.81792183,0.6,0.6,9.5,4He,5.9,0.12,40
23.53448276,20.83508103,0.6,0.6,9.5,4He,5.9,0.12,40
22.82327586,18.88274547,0.6,0.6,9.5,4He,5.9,0.12,40
22.04741379,16.96091516,0.6,0.6,9.5,4He,5.9,0.12,40
,,,,,,,,
-0.591503268,2.29322548,0.6,0.6,1.33,7Li,7.95,0.15,40
0.598039216,3.404448938,0.6,0.6,1.33,7Li,7.95,0.15,40
0.598039216,3.404448938,0.6,0.6,1.33,7Li,7.95,0.15,40
2.08496732,4.480283114,0.6,0.6,1.33,7Li,7.95,0.15,40
3.777777778,5.570273003,0.6,0.6,1.33,7Li,7.95,0.15,40
4.624183007,6.108190091,0.6,0.6,1.33,7Li,7.95,0.15,40
4.624183007,6.171890799,0.6,0.6,1.33,7Li,7.95,0.15,40
4.967320261,5.584428716,0.6,0.6,1.33,7Li,7.95,0.15,40
4.441176471,4.487360971,0.6,0.6,1.33,7Li,7.95,0.15,40
4.052287582,3.390293225,0.6,0.6,1.33,7Li,7.95,0.15,40
3.732026144,2.300303337,0.6,0.6,1.33,7Li,7.95,0.15,40
,,,,,,,,
-2.634315425,6.108870968,0.6,0.6,3.5,7Li,7.95,0.15,40
-0.935875217,7.318548387,0.6,0.6,3.5,7Li,7.95,0.15,40
2.279029463,9.092741935,0.6,0.6,3.5,7Li,7.95,0.15,40
4.220103986,10.90725806,0.6,0.6,3.5,7Li,7.95,0.15,40
6.039861352,12.72177419,0.6,0.6,3.5,7Li,7.95,0.15,40
8.344887348,14.55645161,0.6,0.6,3.5,7Li,7.95,0.15,40
9.86135182,16.35080645,0.6,0.6,3.5,7Li,7.95,0.15,40
11.9237435,18.14516129,0.6,0.6,3.5,7Li,7.95,0.15,40
12.2270364,18.68951613,0.6,0.6,3.5,7Li,7.95,0.15,40
12.40901213,18.89112903,0.6,0.6,3.5,7Li,7.95,0.15,40
13.62218371,19.03225806,0.6,0.6,3.5,7Li,7.95,0.15,40
14.35008666,18.89112903,0.6,0.6,3.5,7Li,7.95,0.15,40
15.13864818,18.77016129,0.6,0.6,3.5,7Li,7.95,0.15,40
15.74523397,18.10483871,0.6,0.6,3.5,7Li,7.95,0.15,40
16.16984402,16.35080645,0.6,0.6,3.5,7Li,7.95,0.15,40
15.56325823,14.51612903,0.6,0.6,3.5,7Li,7.95,0.15,40
14.59272097,12.68145161,0.6,0.6,3.5,7Li,7.95,0.15,40
13.37954939,10.84677419,0.6,0.6,3.5,7Li,7.95,0.15,40
12.28769497,9.092741935,0.6,0.6,3.5,7Li,7.95,0.15,40
10.7712305,7.318548387,0.6,0.6,3.5,7Li,7.95,0.15,40
10.22530329,6.088709677,0.6,0.6,3.5,7Li,7.95,0.15,40
10.22530329,6.088709677,0.6,0.6,3.5,7Li,7.95,0.15,40
