r_um,z_um,r_err_um,z_err_um,time_h,particle_name,Energy_MeV,Energy_FWHM_MeV
3.280373832,10.3641791,0.3,0.6,6,1H,1.27,0.17
2.738317757,11.27164179,0.3,0.6,6,1H,1.27,0.17
2.065420561,12.13134328,0.3,0.6,6,1H,1.27,0.17
1.280373832,12.94328358,0.3,0.6,6,1H,1.27,0.17
0.635514019,13.49253731,0.3,0.6,6,1H,1.27,0.17
1.00E-02,14.06567164,0.3,0.6,6,1H,1.27,0.17
,,,,,,,
8.302457467,20.69172932,0.3,0.6,12,1H,1.27,0.17
6.805293006,22.61654135,0.3,0.6,12,1H,1.27,0.17
4.831758034,24.63759398,0.3,0.6,12,1H,1.27,0.17
3.289224953,27.62105263,0.3,0.6,12,1H,1.27,0.17
2.291115312,28.92030075,0.3,0.6,12,1H,1.27,0.17
1.429111531,29.88270677,0.3,0.6,12,1H,1.27,0.17
0.748582231,30.02706767,0.3,0.6,12,1H,1.27,0.17
1.00E-02,30.84511278,0.3,0.6,12,1H,1.27,0.17
,,,,,,,
2.834532374,5.142068966,0.3,0.6,3,4He,4,0.16
2.064748201,7.23862069,0.3,0.6,3,4He,4,0.16
1.446043165,9.445517241,0.3,0.6,3,4He,4,0.16
0.827338129,11.07862069,0.3,0.6,3,4He,4,0.16
0.647482014,11.4537931,0.3,0.6,3,4He,4,0.16
1.00E-02,13.35172414,0.3,0.6,3,4He,4,0.16
,,,,,,,
6.823104693,10.30555556,0.3,0.6,6,4He,4,0.16
6.064981949,12.91111111,0.3,0.6,6,4He,4,0.16
5.108303249,15.94444444,0.3,0.6,6,4He,4,0.16
4.729241877,20.18333333,0.3,0.6,6,4He,4,0.16
4.079422383,22.63333333,0.3,0.6,6,4He,4,0.16
2.942238267,24.18888889,0.3,0.6,6,4He,4,0.16
1.516245487,24.92777778,0.3,0.6,6,4He,4,0.16
1.00E-02,25.27777778,0.3,0.6,6,4He,4,0.16
,,,,,,,
1.151291513,1.434846266,0.3,0.6,0.83,7Li,4.82,0.16
0.906273063,1.932650073,0.3,0.6,0.83,7Li,4.82,0.16
0.699630996,2.474377745,0.3,0.6,0.83,7Li,4.82,0.16
0.504797048,3.469985359,0.3,0.6,0.83,7Li,4.82,0.16
0.301107011,4.421669107,0.3,0.6,0.83,7Li,4.82,0.16
0.200738007,5.461200586,0.3,0.6,0.83,7Li,4.82,0.16
0.103321033,6.486090776,0.3,0.6,0.83,7Li,4.82,0.16
0.044280443,7.467057101,0.3,0.6,0.83,7Li,4.82,0.16
1.00E-02,8.770131772,0.3,0.6,0.83,7Li,4.82,0.16
,,,,,,,
1.828703704,2.498525074,0.3,0.6,1.5,7Li,4.82,0.16
1.75,3.469026549,0.3,0.6,1.5,7Li,4.82,0.16
1.578703704,4.687315634,0.3,0.6,1.5,7Li,4.82,0.16
1.458333333,5.595870206,0.3,0.6,1.5,7Li,4.82,0.16
1.333333333,6.648967552,0.3,0.6,1.5,7Li,4.82,0.16
1.268518519,7.640117994,0.3,0.6,1.5,7Li,4.82,0.16
1.138888889,8.920353982,0.3,0.6,1.5,7Li,4.82,0.16
1.055555556,10.09734513,0.3,0.6,1.5,7Li,4.82,0.16
0.912037037,11.12979351,0.3,0.6,1.5,7Li,4.82,0.16
0.759259259,12.24483776,0.3,0.6,1.5,7Li,4.82,0.16
0.472222222,12.51327434,0.3,0.6,1.5,7Li,4.82,0.16
1.00E-02,12.84365782,0.3,0.6,1.5,7Li,4.82,0.16
,,,,,,,
0.760869565,0.972503618,0.3,0.6,0.61,12C,14.8,0.4
0.507246377,3.606367583,0.3,0.6,0.61,12C,14.8,0.4
0.380434783,6.098408104,0.3,0.6,0.61,12C,14.8,0.4
0.246014493,8.671490593,0.3,0.6,0.61,12C,14.8,0.4
0.126811594,9.988422576,0.3,0.6,0.61,12C,14.8,0.4
1.00E-02,11.22431259,0.3,0.6,0.61,12C,14.8,0.4
,,,,,,,
1.614787431,1.778425656,0.3,0.6,1,12C,14.8,0.4
1.233271719,4.052478134,0.3,0.6,1,12C,14.8,0.4
1.046950092,6.618075802,0.3,0.6,1,12C,14.8,0.4
1.011460259,9.329446064,0.3,0.6,1,12C,14.8,0.4
0.834011091,11.60349854,0.3,0.6,1,12C,14.8,0.4
0.811829945,13.93586006,0.3,0.6,1,12C,14.8,0.4
0.643253235,15.65597668,0.3,0.6,1,12C,14.8,0.4
0.510166359,17.75510204,0.3,0.6,1,12C,14.8,0.4
0.323844732,18.19241983,0.3,0.6,1,12C,14.8,0.4
1.00E-02,18.60058309,0.3,0.6,1,12C,14.8,0.4
